treatment,game,round,time,id,side,valuation,bid,price,match_id,match_time,type,status
FullExtNeg,1,1,5,12,Seller,108,125,,,,Manual,Expired
FullExtNeg,1,1,5,7,Buyer,113,1,,,,Manual,Expired
FullExtNeg,1,1,6,9,Buyer,108,101,101.0,0.0,7.0,Manual,Accepted
FullExtNeg,1,1,7,0,Seller,68,95,101.0,9.0,7.0,Manual,Replaced
FullExtNeg,1,1,7,11,Seller,103,160,,,,Manual,Expired
FullExtNeg,1,1,7,10,Seller,98,200,,,,Manual,Expired
FullExtNeg,1,1,11,1,Buyer,133,100,100.0,8.0,15.0,Manual,Accepted
FullExtNeg,1,1,13,5,Buyer,118,50,,,,Manual,Replaced
FullExtNeg,1,1,15,8,Seller,93,100,100.0,1.0,15.0,Auto,Accepted
FullExtNeg,1,1,20,11,Seller,103,150,,,,Manual,Replaced
FullExtNeg,1,1,21,5,Buyer,118,70,,,,Manual,Expired
FullExtNeg,1,1,22,12,Seller,108,115,,,,Manual,Expired
FullExtNeg,1,1,25,7,Buyer,113,5,,,,Manual,Expired
FullExtNeg,1,1,28,10,Seller,98,190,,,,Manual,Expired
FullExtNeg,1,1,29,11,Seller,103,140,,,,Manual,Replaced
FullExtNeg,1,1,35,6,Seller,88,100,100.0,5.0,40.0,Manual,Accepted
FullExtNeg,1,1,36,3,Seller,78,250,,,,Manual,Expired
FullExtNeg,1,1,37,11,Seller,103,130,,,,Manual,Expired
FullExtNeg,1,1,40,5,Buyer,118,100,100.0,6.0,40.0,Manual,Replaced
FullExtNeg,1,1,43,7,Buyer,113,100,100.0,4.0,45.0,Manual,Accepted
FullExtNeg,1,1,45,4,Seller,83,100,100.0,7.0,45.0,Auto,Accepted
FullExtNeg,1,1,49,12,Seller,108,108,,,,Manual,Expired
FullExtNeg,1,1,49,11,Seller,103,130,,,,Manual,Expired
FullExtNeg,1,1,53,3,Seller,78,100,,,,Manual,Expired
FullExtNeg,1,1,64,11,Seller,103,140,,,,Manual,Expired
FullExtNeg,1,1,64,3,Seller,78,250,,,,Manual,Expired
FullExtNeg,1,1,65,10,Seller,98,190,,,,Manual,Expired
FullExtNeg,1,1,70,12,Seller,108,110,,,,Manual,Expired
FullExtNeg,1,1,75,11,Seller,103,130,,,,Manual,Replaced
FullExtNeg,1,1,77,13,Buyer,93,70,,,,Manual,Expired
FullExtNeg,1,1,80,3,Seller,78,150,,,,Manual,Expired
FullExtNeg,1,1,84,12,Seller,108,109,,,,Manual,Expired
FullExtNeg,1,1,84,11,Seller,103,140,,,,Manual,Expired
FullExtNeg,1,1,87,10,Seller,98,190,,,,Manual,Replaced
FullExtNeg,1,1,93,3,Seller,78,100,100.0,2.0,97.0,Manual,Accepted
FullExtNeg,1,1,94,13,Buyer,93,75,,,,Manual,Expired
FullExtNeg,1,1,96,10,Seller,98,100,,,,Manual,Expired
