treatment,game,round,time,id,side,valuation,bid,type,price,match_id,match_time
BBLimS,1,1,5,1046,Seller,78.0,82,Manual,82.0,1045.0,8.0
BBLimS,1,1,5,1040,Seller,63.0,200,Manual,,,
BBLimS,1,1,6,1059,Buyer,93.0,5,Manual,,,
BBLimS,1,1,7,1054,Seller,98.0,150,Manual,,,
BBLimS,1,1,7,1055,Buyer,103.0,20,Manual,,,
BBLimS,1,1,8,1045,Buyer,128.0,100,Manual,,,
BBLimS,1,1,8,1045,Buyer,128.0,82,Auto,82.0,1046.0,8.0
BBLimS,1,1,9,1043,Buyer,133.0,110,Manual,110.0,1052.0,9.0
BBLimS,1,1,9,1052,Seller,93.0,110,Manual,,,
BBLimS,1,1,9,1052,Seller,93.0,110,Auto,110.0,1043.0,9.0
BBLimS,1,1,10,1056,Seller,,25,Manual,25.0,1049.0,13.0
BBLimS,1,1,13,1049,Buyer,118.0,85,Manual,,,
BBLimS,1,1,13,1049,Buyer,118.0,25,Auto,25.0,1056.0,13.0
BBLimS,1,1,15,1053,Buyer,108.0,90,Manual,90.0,1044.0,17.0
BBLimS,1,1,17,1044,Seller,73.0,78,Manual,,,
BBLimS,1,1,17,1044,Seller,73.0,90,Auto,90.0,1053.0,17.0
BBLimS,1,1,17,1054,Seller,98.0,125,Manual,,,
BBLimS,1,1,21,1055,Buyer,103.0,30,Manual,,,
BBLimS,1,1,23,1040,Seller,63.0,120,Manual,,,
BBLimS,1,1,24,1054,Seller,98.0,155,Manual,,,
BBLimS,1,1,28,1059,Buyer,93.0,25,Manual,,,
BBLimS,1,1,31,1051,Buyer,113.0,60,Manual,,,
BBLimS,1,1,33,1055,Buyer,103.0,50,Manual,,,
BBLimS,1,1,39,1040,Seller,63.0,100,Manual,100.0,1051.0,47.0
BBLimS,1,1,41,1054,Seller,98.0,129,Manual,,,
BBLimS,1,1,44,1059,Buyer,93.0,60,Manual,,,
BBLimS,1,1,47,1055,Buyer,103.0,60,Manual,,,
BBLimS,1,1,47,1051,Buyer,113.0,100,Manual,,,
