amount,time,game_id,game_iid,round_id,round_iid,player_id,side,status,type,matched_price,offer_db_id
125,5,264,1,1455,1,1633,Seller,Expired,Manual,NA,27685
1,5,264,1,1455,1,1626,Buyer,Expired,Manual,NA,27686
101,6,264,1,1455,1,1628,Buyer,Accepted,Manual,101,27687
95,7,264,1,1455,1,1617,Seller,Replaced,Manual,NA,27688
101,7,264,1,1455,1,1617,Seller,Accepted,Auto,101,27689
160,7,264,1,1455,1,1631,Seller,Expired,Manual,NA,27690
200,7,264,1,1455,1,1629,Seller,Expired,Manual,NA,27691
100,11,264,1,1455,1,1618,Buyer,Accepted,Manual,100,27693
50,13,264,1,1455,1,1624,Buyer,Replaced,Manual,NA,27694
100,15,264,1,1455,1,1627,Seller,Accepted,Auto,100,27697
150,20,264,1,1455,1,1631,Seller,Replaced,Manual,NA,27699
70,21,264,1,1455,1,1624,Buyer,Expired,Manual,NA,27701
115,22,264,1,1455,1,1633,Seller,Expired,Manual,NA,27702
5,25,264,1,1455,1,1626,Buyer,Expired,Manual,NA,27703
190,28,264,1,1455,1,1629,Seller,Expired,Manual,NA,27705
140,29,264,1,1455,1,1631,Seller,Replaced,Manual,NA,27706
100,35,264,1,1455,1,1625,Seller,Accepted,Manual,100,27710
250,36,264,1,1455,1,1621,Seller,Expired,Manual,NA,27711
130,37,264,1,1455,1,1631,Seller,Expired,Manual,NA,27712
100,40,264,1,1455,1,1624,Buyer,Replaced,Manual,NA,27714
100,40,264,1,1455,1,1624,Buyer,Accepted,Auto,100,27715
100,43,264,1,1455,1,1626,Buyer,Accepted,Manual,100,27716
100,45,264,1,1455,1,1623,Seller,Accepted,Auto,100,27717
108,49,264,1,1455,1,1633,Seller,Expired,Manual,NA,27720
130,49,264,1,1455,1,1631,Seller,Expired,Manual,NA,27721
100,53,264,1,1455,1,1621,Seller,Expired,Manual,NA,27723
140,64,264,1,1455,1,1631,Seller,Expired,Manual,NA,27726
250,64,264,1,1455,1,1621,Seller,Expired,Manual,NA,27728
190,65,264,1,1455,1,1629,Seller,Expired,Manual,NA,27729
110,70,264,1,1455,1,1633,Seller,Expired,Manual,NA,27731
130,75,264,1,1455,1,1631,Seller,Replaced,Manual,NA,27734
70,77,264,1,1455,1,1634,Buyer,Expired,Manual,NA,27735
150,80,264,1,1455,1,1621,Seller,Expired,Manual,NA,27736
109,84,264,1,1455,1,1633,Seller,Expired,Manual,NA,27739
140,84,264,1,1455,1,1631,Seller,Expired,Manual,NA,27740
190,87,264,1,1455,1,1629,Seller,Replaced,Manual,NA,27741
