amount,time,game_id,game_iid,round_id,round_iid,player_id,side,status,type,matched_price,offer_db_id
30,5,258,1,1386,1,1502,Buyer,Expired,Manual,NA,24298
130,7,258,1,1386,1,1511,Seller,Expired,Manual,NA,24301
600,9,258,1,1386,1,1497,Seller,Expired,Manual,NA,24304
88,12,258,1,1386,1,1494,Buyer,Accepted,Manual,88,24314
80,13,258,1,1386,1,1495,Seller,Replaced,Manual,NA,24316
88,13,258,1,1386,1,1495,Seller,Accepted,Auto,88,24317
120,14,258,1,1386,1,1509,Seller,Replaced,Manual,NA,24320
120,21,258,1,1386,1,1507,Seller,Expired,Manual,NA,24335
59,23,258,1,1386,1,1508,Buyer,Expired,Manual,NA,24340
130,24,258,1,1386,1,1509,Seller,Replaced,Manual,NA,24345
140,24,258,1,1386,1,1511,Seller,Expired,Manual,NA,24347
100,25,258,1,1386,1,1503,Seller,Replaced,Manual,NA,24348
100,25,258,1,1386,1,1497,Seller,Expired,Manual,NA,24349
75,25,258,1,1386,1,1502,Buyer,Expired,Manual,NA,24350
79,26,258,1,1386,1,1512,Buyer,Expired,Manual,NA,24353
80,27,258,1,1386,1,1498,Buyer,Accepted,Manual,80,24356
433,28,258,1,1386,1,1493,Seller,Replaced,Manual,NA,24357
115,31,258,1,1386,1,1505,Seller,Expired,Manual,NA,24367
115,31,258,1,1386,1,1509,Seller,Expired,Manual,NA,24368
90,33,258,1,1386,1,1503,Seller,Accepted,Manual,90,24375
90,34,258,1,1386,1,1510,Buyer,Accepted,Auto,90,24379
80,35,258,1,1386,1,1493,Seller,Accepted,Auto,80,24383
80,37,258,1,1386,1,1502,Buyer,Expired,Manual,NA,24386
150,38,258,1,1386,1,1511,Seller,Expired,Manual,NA,24394
120,40,258,1,1386,1,1507,Seller,Replaced,Manual,NA,24401
115,45,258,1,1386,1,1497,Seller,Expired,Manual,NA,24408
110,45,258,1,1386,1,1509,Seller,Expired,Manual,NA,24411
81,46,258,1,1386,1,1508,Buyer,Replaced,Manual,NA,24414
88,47,258,1,1386,1,1512,Buyer,Expired,Manual,NA,24415
138,48,258,1,1386,1,1511,Seller,Expired,Manual,NA,24418
120,49,258,1,1386,1,1507,Seller,Expired,Manual,NA,24421
93,51,258,1,1386,1,1505,Seller,Accepted,Manual,93,24427
89,53,258,1,1386,1,1502,Buyer,Expired,Manual,NA,24431
93,55,258,1,1386,1,1508,Buyer,Accepted,Auto,93,24435
110,59,258,1,1386,1,1507,Seller,Expired,Manual,NA,24447
110,61,258,1,1386,1,1509,Seller,Expired,Manual,NA,24448
89,61,258,1,1386,1,1512,Buyer,Expired,Manual,NA,24449
95,63,258,1,1386,1,1497,Seller,Expired,Manual,NA,24454
135,65,258,1,1386,1,1511,Seller,Expired,Manual,NA,24460
70,65,258,1,1386,1,1502,Buyer,Expired,Manual,NA,24461
105,71,258,1,1386,1,1509,Seller,Expired,Manual,NA,24469
90,75,258,1,1386,1,1512,Buyer,Expired,Manual,NA,24475
110,77,258,1,1386,1,1507,Seller,Expired,Manual,NA,24478
145,78,258,1,1386,1,1511,Seller,Expired,Manual,NA,24480
85,78,258,1,1386,1,1502,Buyer,Expired,Manual,NA,24481
98,85,258,1,1386,1,1497,Seller,Expired,Manual,NA,24486
87,87,258,1,1386,1,1512,Buyer,Replaced,Manual,NA,24491
105,88,258,1,1386,1,1509,Seller,Expired,Manual,NA,24492
110,94,258,1,1386,1,1511,Seller,Expired,Manual,NA,24499
110,95,258,1,1386,1,1507,Seller,Expired,Manual,NA,24500
85,96,258,1,1386,1,1512,Buyer,Expired,Manual,NA,24502
90,98,258,1,1386,1,1502,Buyer,Accepted,Manual,90,24505
90,101,258,1,1386,1,1497,Seller,Accepted,Auto,90,24510
90,106,258,1,1386,1,1512,Buyer,Replaced,Manual,NA,24515
110,107,258,1,1386,1,1511,Seller,Expired,Manual,NA,24516
110,108,258,1,1386,1,1509,Seller,Expired,Manual,NA,24521
110,108,258,1,1386,1,1507,Seller,Expired,Manual,NA,24522
91,115,258,1,1386,1,1512,Buyer,Replaced,Manual,NA,24528
140,118,258,1,1386,1,1509,Seller,Replaced,Manual,NA,24530
93,123,258,1,1386,1,1512,Buyer,Expired,Manual,NA,24533
