amount,time,game_id,game_iid,round_id,round_iid,player_id,side,status,type,matched_price,offer_db_id
85,6,253,1,1346,1,1399,Seller,Accepted,Manual,85,21930
99,6,253,1,1346,1,1405,Seller,Accepted,Manual,99,21931
85,6,253,1,1346,1,1410,Buyer,Replaced,Manual,NA,21932
85,6,253,1,1346,1,1410,Buyer,Accepted,Auto,85,21933
120,6,253,1,1346,1,1407,Seller,Expired,Manual,NA,21934
105,9,253,1,1346,1,1395,Seller,Expired,Manual,NA,21935
99,11,253,1,1346,1,1396,Buyer,Accepted,Auto,99,21936
90,11,253,1,1346,1,1412,Buyer,Replaced,Manual,NA,21937
99,16,253,1,1346,1,1397,Seller,Accepted,Manual,99,21938
100,17,253,1,1346,1,1404,Buyer,Replaced,Manual,NA,21939
99,17,253,1,1346,1,1404,Buyer,Accepted,Auto,99,21940
98,17,253,1,1346,1,1393,Seller,Accepted,Manual,98,21941
85,17,253,1,1346,1,1412,Buyer,Expired,Manual,NA,21942
110,20,253,1,1346,1,1402,Buyer,Replaced,Manual,NA,21943
98,20,253,1,1346,1,1402,Buyer,Accepted,Auto,98,21944
105,24,253,1,1346,1,1395,Seller,Expired,Manual,NA,21945
135,24,253,1,1346,1,1401,Seller,Expired,Manual,NA,21946
102,26,253,1,1346,1,1407,Seller,Expired,Manual,NA,21947
1,32,253,1,1346,1,1400,Buyer,Expired,Manual,NA,21948
5,35,253,1,1346,1,1406,Buyer,Expired,Manual,NA,21950
105,37,253,1,1346,1,1407,Seller,Expired,Manual,NA,21951
105,38,253,1,1346,1,1395,Seller,Replaced,Manual,NA,21952
75,38,253,1,1346,1,1412,Buyer,Replaced,Manual,NA,21953
50,43,253,1,1346,1,1400,Buyer,Expired,Manual,NA,21954
85,45,253,1,1346,1,1412,Buyer,Replaced,Manual,NA,21956
95,45,253,1,1346,1,1401,Seller,Expired,Manual,NA,21957
104,45,253,1,1346,1,1395,Seller,Replaced,Manual,NA,21958
5,47,253,1,1346,1,1406,Buyer,Replaced,Manual,NA,21959
68,49,253,1,1346,1,1412,Buyer,Expired,Manual,NA,21960
104,54,253,1,1346,1,1395,Seller,Expired,Manual,NA,21961
105,55,253,1,1346,1,1407,Seller,Expired,Manual,NA,21962
5,56,253,1,1346,1,1406,Buyer,Replaced,Manual,NA,21963
50,64,253,1,1346,1,1400,Buyer,Expired,Manual,NA,21964
85,64,253,1,1346,1,1412,Buyer,Accepted,Manual,85,21965
99,65,253,1,1346,1,1395,Seller,Expired,Manual,NA,21966
10,65,253,1,1346,1,1406,Buyer,Replaced,Manual,NA,21967
