price,bprice,bid_id,buyer_id,buyer_iid,sprice,ask_id,seller_id,seller_iid,round_id,round_iid,game_id,game_iid,time,randomized,keeps
99,99,16823,1205,3,99,16818,1206,4,1239,1,243,1,5,0,0
90,90,16819,1211,6,90,16826,1200,1,1239,1,243,1,6,0,0
86,86,16878,1209,5,86,16876,1208,5,1239,1,243,1,118,0,0
85,85,16883,1205,3,85,16880,1200,1,1240,2,243,1,4,0,0
85,85,16890,1211,6,85,16898,1204,3,1240,2,243,1,24,0,0
80,80,16906,1215,8,80,16913,1206,4,1240,2,243,1,49,0,0
90,90,16954,1205,3,90,16950,1200,1,1241,3,243,1,5,0,0
95,95,16958,1209,5,95,16956,1206,4,1241,3,243,1,7,0,0
100,100,16970,1213,7,100,16967,1212,7,1241,3,243,1,27,0,0
105,105,17063,1211,6,105,17067,1204,3,1241,3,243,1,109,0,0
90,90,17106,1209,5,90,17103,1200,1,1244,4,243,1,4,0,0
95,95,17110,1213,7,95,17108,1206,4,1244,4,243,1,4,0,0
100,100,17111,1205,3,100,17120,1212,7,1244,4,243,1,9,0,0
88,88,17141,1215,8,88,17132,1208,5,1244,4,243,1,21,0,0
105,105,17302,1211,6,105,17304,1204,3,1244,4,243,1,119,0,0
95,95,17336,1211,6,95,17333,1206,4,1248,5,243,1,5,0,0
85,85,17359,1209,5,85,17362,1200,1,1248,5,243,1,14,0,0
93,93,17365,1213,7,93,17355,1208,5,1248,5,243,1,15,0,0
100,100,17434,1205,3,100,17430,1212,7,1248,5,243,1,50,0,0
100,100,17587,1215,8,100,17596,1200,1,1252,6,243,1,6,0,0
95,95,17583,1211,6,95,17602,1206,4,1252,6,243,1,8,0,0
105,105,17709,1209,5,105,17724,1208,5,1252,6,243,1,51,0,0
99,99,17791,1213,7,99,17778,1204,3,1252,6,243,1,76,0,0
100,100,17918,1205,3,100,17930,1200,1,1257,7,243,1,7,0,0
100,100,17933,1209,5,100,17935,1206,4,1257,7,243,1,9,0,0
138,138,17937,1201,1,138,17939,1212,7,1257,7,243,1,10,0,0
105,105,18119,1211,6,105,18144,1204,3,1257,7,243,1,82,0,0
88,88,18231,1213,7,88,18229,1208,5,1257,7,243,1,115,0,0
100,100,18311,1205,3,100,18306,1206,4,1263,8,243,1,16,0,0
100,100,18314,1211,6,100,18318,1200,1,1263,8,243,1,18,0,0
89,89,18452,1215,8,89,18438,1204,3,1263,8,243,1,74,0,0
97,97,18495,1213,7,97,18484,1208,5,1263,8,243,1,91,0,0
100,100,18561,1209,5,100,18535,1212,7,1263,8,243,1,113,0,0
100,100,18609,1211,6,100,18615,1206,4,1269,9,243,1,4,0,0
104,104,18624,1213,7,104,18620,1204,3,1269,9,243,1,6,0,0
100,100,18674,1205,3,100,18694,1200,1,1269,9,243,1,30,0,0
105,105,18738,1209,5,105,18748,1208,5,1269,9,243,1,51,0,0
100,100,19048,1209,5,100,19045,1206,4,1277,10,243,1,17,0,0
100,100,19082,1201,1,100,19088,1200,1,1277,10,243,1,30,0,0
100,100,19097,1211,6,100,19107,1208,5,1277,10,243,1,38,0,0
99,99,19248,1205,3,99,19236,1204,3,1277,10,243,1,84,0,0
78,78,16982,1224,4,78,16980,1221,3,1242,1,244,2,6,0,0
78,78,17022,1230,7,78,17018,1223,4,1242,1,244,2,37,0,0
85,85,17100,1236,10,85,17117,1219,2,1242,1,244,2,97,0,0
80,80,17177,1224,4,80,17174,1221,3,1245,2,244,2,6,0,0
100,100,17189,1220,2,100,17200,1219,2,1245,2,244,2,20,0,0
81,81,17292,1236,10,81,17284,1223,4,1245,2,244,2,71,0,0
83,83,17420,1224,4,83,17416,1221,3,1249,3,244,2,5,0,0
88,88,17428,1220,2,88,17424,1227,6,1249,3,244,2,8,0,0
88,88,17485,1230,7,88,17475,1223,4,1249,3,244,2,40,0,0
85,85,17584,1236,10,85,17589,1219,2,1249,3,244,2,94,0,0
85,85,17707,1224,4,85,17704,1221,3,1254,4,244,2,6,0,0
99,99,17759,1220,2,99,17746,1223,4,1254,4,244,2,24,0,0
95,95,17888,1230,7,95,17872,1219,2,1254,4,244,2,75,0,0
120,120,18071,1220,2,120,18073,1221,3,1259,5,244,2,21,0,0
90,90,18372,1230,7,90,18369,1227,6,1265,6,244,2,6,0,0
123,123,18396,1220,2,123,18409,1221,3,1265,6,244,2,17,0,0
110,110,18556,1224,4,110,18558,1223,4,1265,6,244,2,72,0,0
95,95,18778,1224,4,95,18798,1227,6,1271,7,244,2,25,0,0
100,100,18844,1230,7,100,18841,1219,2,1271,7,244,2,40,0,0
87,87,18908,1236,10,87,18910,1221,3,1271,7,244,2,64,0,0
95,95,19151,1230,7,95,19146,1221,3,1279,8,244,2,12,0,0
95,95,19263,1220,2,95,19253,1227,6,1279,8,244,2,48,0,0
95,95,19406,1224,4,95,19398,1223,4,1279,8,244,2,96,0,0
98,98,19551,1220,2,98,19548,1221,3,1287,9,244,2,14,0,0
99,99,19579,1230,7,99,19562,1227,6,1287,9,244,2,25,0,0
95,95,19794,1224,4,95,19814,1223,4,1287,9,244,2,108,0,0
98,98,19891,1230,7,98,19880,1221,3,1294,10,244,2,8,0,0
99,99,19893,1220,2,99,19879,1227,6,1294,10,244,2,8,0,0
115,115,20100,1224,4,115,20105,1223,4,1294,10,244,2,155,0,0
75,75,17073,1252,8,75,17060,1239,2,1243,1,245,3,23,0,0
83,83,17162,1246,5,83,17159,1245,5,1243,1,245,3,79,0,0
100,100,17209,1240,2,100,17198,1243,4,1243,1,245,3,110,0,0
85,85,17252,1246,5,85,17257,1239,2,1247,2,245,3,8,0,0
100,100,17425,1240,2,100,17441,1245,5,1247,2,245,3,97,0,0
115,115,17456,1238,1,115,17446,1243,4,1247,2,245,3,103,0,0
80,80,17529,1252,8,80,17515,1239,2,1251,3,245,3,16,0,0
99,99,17651,1238,1,99,17644,1245,5,1251,3,245,3,68,0,0
110,110,17765,1246,5,110,17771,1243,4,1251,3,245,3,110,0,0
109,109,17853,1248,6,109,17869,1239,2,1256,4,245,3,20,0,0
110,110,18009,1246,5,110,17985,1243,4,1256,4,245,3,78,0,0
105,105,18054,1240,2,105,18057,1245,5,1256,4,245,3,96,0,0
97,97,18180,1248,6,97,18182,1239,2,1262,5,245,3,9,0,0
90,90,18225,1246,5,90,18249,1245,5,1262,5,245,3,31,0,0
