price,bprice,bid_id,buyer_id,buyer_iid,sprice,ask_id,seller_id,seller_iid,round_id,round_iid,game_id,game_iid,time,randomized,keeps
105,105,18120,1302,3,105,18126,1309,7,1260,1,248,1,35,0,0
125,125,18174,1300,2,125,18190,1305,5,1260,1,248,1,55,0,0
100,100,18322,1312,8,100,18324,1311,8,1260,1,248,1,113,0,0
103,103,18400,1312,8,103,18407,1313,9,1266,2,248,1,8,0,0
100,100,18397,1300,2,100,18418,1309,7,1266,2,248,1,10,0,0
120,120,18425,1304,4,120,18406,1311,8,1266,2,248,1,14,0,0
124,124,18460,1302,3,124,18470,1305,5,1266,2,248,1,31,0,0
105,105,18899,1310,7,105,18901,1313,9,1273,3,248,1,42,0,0
120,120,18953,1304,4,120,18923,1311,8,1273,3,248,1,57,0,0
110,110,19037,1300,2,110,19040,1305,5,1273,3,248,1,85,0,0
103,103,19122,1312,8,103,19145,1309,7,1273,3,248,1,123,0,0
118,118,19278,1304,4,118,19256,1311,8,1281,4,248,1,29,0,0
100,100,19307,1310,7,100,19308,1309,7,1281,4,248,1,38,0,0
105,105,19341,1300,2,105,19351,1313,9,1281,4,248,1,51,0,0
90,90,19503,1316,10,90,19513,1305,5,1281,4,248,1,106,0,0
105,105,19614,1300,2,105,19634,1305,5,1290,5,248,1,14,0,0
105,105,19687,1310,7,105,19651,1313,9,1290,5,248,1,33,0,0
115,115,19752,1304,4,115,19734,1311,8,1290,5,248,1,55,0,0
97,97,19863,1314,9,97,19867,1309,7,1290,5,248,1,97,0,0
105,105,19993,1300,2,105,20001,1313,9,1297,6,248,1,7,0,0
105,105,20199,1304,4,105,20212,1313,9,1304,7,248,1,77,0,0
108,108,20233,1300,2,108,20231,1305,5,1304,7,248,1,96,0,0
105,105,20282,1300,2,105,20284,1305,5,1311,8,248,1,10,0,0
100,100,20467,1304,4,100,20485,1311,8,1311,8,248,1,91,0,0
105,105,20560,1300,2,105,20562,1305,5,1317,9,248,1,6,0,0
105,105,20581,1310,7,105,20569,1311,8,1317,9,248,1,18,0,0
95,95,20753,1304,4,95,20750,1309,7,1317,9,248,1,109,0,0
105,105,20783,1300,2,105,20785,1311,8,1323,10,248,1,8,0,0
91,91,20990,1316,10,91,20993,1305,5,1323,10,248,1,96,0,0
100,100,21033,1304,4,100,21040,1309,7,1323,10,248,1,123,0,0
70,70,18770,1324,4,70,18751,1317,1,1272,1,249,2,14,0,0
91,91,18773,1320,2,91,18766,1325,5,1272,1,249,2,14,0,0
92,92,18783,1326,5,92,18767,1319,2,1272,1,249,2,18,0,0
90,90,18806,1336,10,90,18800,1321,3,1272,1,249,2,24,0,0
120,120,18839,1322,3,120,18845,1333,9,1272,1,249,2,38,0,0
95,95,18959,1330,7,95,18973,1323,4,1272,1,249,2,77,0,0
94,94,18969,1318,1,94,18995,1329,7,1272,1,249,2,85,0,0
98,98,19203,1328,6,98,19201,1329,7,1280,2,249,2,13,0,0
100,100,19232,1320,2,100,19231,1323,4,1280,2,249,2,21,0,0
110,110,19243,1322,3,110,19223,1321,3,1280,2,249,2,26,0,0
110,110,19274,1324,4,110,19261,1317,1,1280,2,249,2,36,0,0
100,100,19434,1332,8,100,19435,1331,8,1280,2,249,2,88,0,0
96,96,19459,1318,1,96,19464,1319,2,1280,2,249,2,97,0,0
110,110,19485,1326,5,110,19455,1333,9,1280,2,249,2,103,0,0
93,93,19526,1330,7,93,19544,1325,5,1280,2,249,2,124,0,0
110,110,19622,1320,2,110,19605,1321,3,1289,3,249,2,10,0,0
110,110,19656,1322,3,110,19649,1333,9,1289,3,249,2,25,0,0
108,108,19693,1324,4,108,19684,1319,2,1289,3,249,2,34,0,0
105,105,19703,1328,6,105,19694,1323,4,1289,3,249,2,38,0,0
111,111,19721,1326,5,111,19716,1325,5,1289,3,249,2,45,0,0
98,98,19749,1318,1,98,19761,1331,8,1289,3,249,2,57,0,0
99,99,19885,1330,7,99,19903,1317,1,1289,3,249,2,110,0,0
110,110,20061,1322,3,110,20049,1323,4,1298,4,249,2,31,0,0
110,110,20062,1320,2,110,20057,1321,3,1298,4,249,2,32,0,0
100,100,20144,1328,6,100,20142,1319,2,1298,4,249,2,118,0,0
90,90,20129,1332,8,90,20150,1317,1,1298,4,249,2,123,0,0
120,120,20162,1324,4,120,20159,1329,7,1298,4,249,2,143,0,0
105,105,20156,1318,1,105,20170,1331,8,1298,4,249,2,144,0,0
110,110,20210,1326,5,110,20200,1323,4,1306,5,249,2,64,0,0
125,125,20213,1320,2,125,20221,1319,2,1306,5,249,2,81,0,0
110,110,20251,1322,3,110,20242,1317,1,1306,5,249,2,116,0,0
118,118,20259,1324,4,118,20248,1325,5,1306,5,249,2,117,0,0
130,130,20267,1318,1,130,20249,1333,9,1306,5,249,2,122,0,0
110,110,20280,1328,6,110,20273,1321,3,1306,5,249,2,130,0,0
105,105,20318,1328,6,105,20332,1323,4,1313,6,249,2,9,0,0
100,100,20333,1320,2,100,20339,1331,8,1313,6,249,2,12,0,0
112,112,20347,1324,4,112,20322,1317,1,1313,6,249,2,13,0,0
115,115,20369,1322,3,115,20354,1321,3,1313,6,249,2,23,0,0
104,104,20509,1318,1,104,20518,1319,2,1313,6,249,2,88,0,0
116,116,20533,1326,5,116,20521,1333,9,1313,6,249,2,97,0,0
110,110,20623,1320,2,110,20617,1333,9,1320,7,249,2,7,0,0
110,110,20636,1324,4,110,20632,1323,4,1320,7,249,2,12,0,0
99,99,20646,1332,8,99,20647,1331,8,1320,7,249,2,17,0,0
115,115,20652,1322,3,115,20637,1321,3,1320,7,249,2,21,0,0
113,113,20724,1326,5,113,20721,1317,1,1320,7,249,2,61,0,0
110,110,20756,1328,6,110,20751,1319,2,1320,7,249,2,82,0,0
115,115,20782,1318,1,115,20788,1325,5,1320,7,249,2,117,0,0
100,100,20905,1328,6,100,20897,1329,7,1326,8,249,2,26,0,0
113,113,20909,1324,4,113,20906,1317,1,1326,8,249,2,27,0,0
110,110,20944,1320,2,110,20931,1323,4,1326,8,249,2,39,0,0
98,98,20933,1332,8,98,20952,1331,8,1326,8,249,2,42,0,0
115,115,20967,1326,5,115,20966,1333,9,1326,8,249,2,47,0,0
102,102,21003,1318,1,102,21019,1321,3,1326,8,249,2,72,0,0
104,104,21035,1330,7,104,21043,1325,5,1326,8,249,2,89,0,0
118,118,21058,1322,3,118,21054,1319,2,1326,8,249,2,103,0,0
111,111,21114,1320,2,111,21107,1323,4,1331,9,249,2,6,0,0
100,100,21104,1328,6,100,21122,1331,8,1331,9,249,2,10,0,0
110,110,21132,1322,3,110,21131,1333,9,1331,9,249,2,14,0,0
118,118,21141,1324,4,118,21126,1335,10,1331,9,249,2,17,0,0
100,100,21170,1332,8,100,21154,1329,7,1331,9,249,2,27,0,0
113,113,21229,1326,5,113,21224,1317,1,1331,9,249,2,57,0,0
107,107,21259,1318,1,107,21261,1325,5,1331,9,249,2,82,0,0
107,107,21274,1330,7,107,21273,1319,2,1331,9,249,2,101,0,0
111,111,21341,1324,4,111,21336,1323,4,1337,10,249,2,7,0,0
100,100,21363,1318,1,100,21369,1331,8,1337,10,249,2,17,0,0
115,115,21370,1320,2,115,21365,1317,1,1337,10,249,2,17,0,0
118,118,21372,1326,5,118,21375,1333,9,1337,10,249,2,19,0,0
110,110,21482,1328,6,110,21472,1325,5,1337,10,249,2,90,0,0
101,101,21487,1330,7,101,21490,1329,7,1337,10,249,2,98,0,0
105,105,21504,1322,3,105,21497,1319,2,1337,10,249,2,112,0,0
80,80,18936,1356,10,80,18944,1337,1,1276,1,250,3,9,0,0
85,85,18998,1342,3,85,18979,1341,3,1276,1,250,3,27,0,0
85,85,19028,1348,6,85,19038,1343,4,1276,1,250,3,39,0,0
85,85,19148,1352,8,85,19171,1339,2,1276,1,250,3,88,0,0
85,85,19382,1350,7,85,19378,1343,4,1284,2,250,3,17,0,0
80,80,19397,1356,10,80,19423,1339,2,1284,2,250,3,32,0,0
90,90,19424,1342,3,90,19420,1341,3,1284,2,250,3,32,0,0
85,85,19456,1352,8,85,19475,1337,1,1284,2,250,3,48,0,0
95,95,19637,1348,6,95,19616,1349,7,1284,2,250,3,110,0,0
93,93,19758,1342,3,93,19747,1337,1,1292,3,250,3,10,0,0
80,80,19781,1356,10,80,19791,1343,4,1292,3,250,3,21,0,0
85,85,19899,1348,6,85,19914,1339,2,1292,3,250,3,68,0,0
85,85,19995,1350,7,85,19985,1345,5,1292,3,250,3,98,0,0
87,87,20163,1352,8,87,20160,1337,1,1300,4,250,3,103,0,0
85,85,20173,1348,6,85,20182,1339,2,1300,4,250,3,126,0,0
87,87,20245,1342,3,87,20241,1343,4,1300,4,250,3,212,0,0
85,85,20279,1356,10,85,20274,1341,3,1307,5,250,3,96,0,0
